#####################################################
# Listed are the two lowest energies E0 and E1 as
# functions of angle aCOC and distance rCH in the
# following ion
#
#          O-
#         /
#   H - C
#        \
#         O
#
#####################################################
#
#aCOC   rCH     E0(aCOC, rCH)    E1(aCOC, rCH)
#=====  ======  ================ ===============
80  0.75    -187.9181147924 -187.9158295252
80  0.80    -187.9713312339 -187.9661878018
80  0.85    -188.0105136203 -188.0049447368
80  0.90    -188.0373188825 -188.0312605047
80  0.95    -188.0547148942 -188.0481051036
80  1.00    -188.0649656397 -188.0577399331
80  1.05    -188.0698170896 -188.0619080135
80  1.10    -188.0706328906 -188.0619723592
80  1.15    -188.0685050145 -188.0590323048
80  1.20    -188.0644917047 -188.0546633389
80  1.25    -188.0597160477 -188.0490819904
80  1.30    -188.0539382368 -188.0424343828
80  1.35    -188.0474877143 -188.0350887983
80  1.40    -188.0406394801 -188.0273355872
80  1.45    -188.0336082521 -188.0194021043
80  1.50    -188.0265610977 -188.0114609822
80  1.55    -188.0678564251 -188.0143924120
80  1.60    -188.0679692408 -188.0100172712
80  1.65    -188.0687205158 -188.0053470361
80  1.70    -188.0697815991 -188.0005894930
80  1.75    -188.0709581140 -187.9958838707
80  1.80    -188.0721406231 -187.9913185539
80  1.85    -188.0732798876 -187.9869388013
80  1.90    -188.0743498041 -187.9827745072
80  1.95    -188.0753405189 -187.9788418674
80  2.00    -188.0762508640 -187.9751480979
80  2.05    -188.0770838055 -187.9716945532
80  2.10    -188.0778440633 -187.9684785367
80  2.15    -188.0833154714 -187.9688328784
80  2.20    -188.0837635328 -187.9691478323
80  2.25    -188.0841770785 -187.9694389517
80  2.30    -188.0845557718 -187.9697058672
80  2.35    -188.0849001847 -187.9699484088
80  2.40    -188.0852112318 -187.9701669934
80  2.45    -188.0854903646 -187.9703622593
80  2.50    -188.0857391850 -187.9705352665
80  2.55    -188.0859594829 -187.9706872793
80  2.60    -188.0861535155 -187.9708193368
80  2.65    -188.0863231745 -187.9709329469
80  2.70    -188.0864704115 -187.9710295709
80  2.75    -188.0865972395 -187.9711105520
80  2.80    -188.0867050982 -187.9711777035
80  2.85    -188.0867964173 -187.9712317295
80  2.90    -188.0868726204 -187.9712741915
80  2.95    -188.0869352610 -187.9713063715
80  3.00    -188.0869858378 -187.9713294501
 
90  0.75    -188.0434255816 -187.9643587820
90  0.80    -188.0991892997 -188.0197576293
90  0.85    -188.1386710232 -188.0587850504
90  0.90    -188.1658149131 -188.0853844547
90  0.95    -188.1835938739 -188.1025245567
90  1.00    -188.1942718698 -188.1124675958
90  1.05    -188.1995928411 -188.1169549625
90  1.10    -188.2009126604 -188.1173431584
90  1.15    -188.1992989026 -188.1147044065
90  1.20    -188.1956064229 -188.1099215130
90  1.25    -188.1905094724 -188.1039297113
90  1.30    -188.1847836373 -188.0976492032
90  1.35    -188.1787634542 -188.0906567257
90  1.40    -188.1724264907 -188.0832732115
90  1.45    -188.1659299379 -188.0757178569
90  1.50    -188.1594123325 -188.0681556854
90  1.55    -188.1458496111 -188.1234717482
90  1.60    -188.1424178287 -188.1223132544
90  1.65    -188.1384849755 -188.1221421795
90  1.70    -188.1343179889 -188.1224965523
90  1.75    -188.1300897274 -188.1231025675
90  1.80    -188.1258995372 -188.1238122713
90  1.85    -188.1245444083 -188.1218090783
90  1.90    -188.1252514840 -188.1178619652
90  1.95    -188.1259191266 -188.1140765395
90  2.00    -188.1265393605 -188.1104679625
90  2.05    -188.1271122211 -188.1070438024
90  2.10    -188.1276404365 -188.1038078147
90  2.15    -188.1281275211 -188.1007611090
90  2.20    -188.1285765433 -188.0979031565
90  2.25    -188.1289903757 -188.0952316033
90  2.30    -188.1293707470 -188.0927434297
90  2.35    -188.1297195039 -188.0904339475
90  2.40    -188.1300376170 -188.0882980526
90  2.45    -188.1303271767 -188.0863284777
90  2.50    -188.1305889449 -188.0845184405
90  2.55    -188.1308241022 -188.0828601031
90  2.60    -188.1310338961 -188.0813451010
90  2.65    -188.1312196781 -188.0799646755
90  2.70    -188.1313828162 -188.0787099209
90  2.75    -188.1315247494 -188.0775718734
